RowNumber,TotalCount,SComplaintId,ComplaintType,ComplaintOn,Complaintcode,Location,TStationName,TSType,Remarks,RegistrationDate,RegistrationType,FLat,FLng,FAddress,CLat,CLng,CAddress,ModeOfReporting,PredefinedSLADuration,Status,IsClosed,CreatedBy,ClosedBy,CRemarks,ClosedOn,TotalTimeTaken,FolderName,WardName,ZoneName,CircleName,ComplaintName,ComplaintContactNumber,citizen_email,FImgUrl,CImgUrl
11,87,4242,QR Code is not working,03-06-2024 07:17:00 PM,COMP/0000000056,address,Waheed Nagar,SCTP,description,2024-06-03,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 07:17:00 PM,0:00,uploads/,Pritampur North,Rohini Zone,R-Cluster 4,dharmendra,9494092686,,,
12,87,4240,QR Code is not working,03-06-2024 12:33:00 PM,COMP/0000000054,xcvbnm,,Waheed Nagar,SCTP,xcvbnm,.,2024-06-03,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 12:33:00 PM,0:00,uploads/,Nimrai Colony,Civil Lines Zone,C-Cluster 5,reee,7777777777,reee@resus.com,,
13,87,4239,QR Code is not working,03-06-2024 12:34:00 PM,COMP/0000000053,zxcvbnjmk,.,Waheed Nagar,SCTP,zsdfghjkl.,2024-06-03,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 12:34:00 PM,0:00,uploads/,Saraswati Vihar,Rohini Zone,R-Cluster 4,Someone3,9999999999,some3@gmail.com,,
14,87,4232,QR Code is not working,03-06-2024 10:08:00 AM,COMP/0000000050,qwsdfv,Waheed Nagar,SCTP,asdcfv,2024-06-03,Select,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 10:08:00 AM,0:00,uploads/,Wazirpur,Keshava Puram Zone,C-Cluster 5,resl1,3333333333,resl@gmail.com,,
15,87,4231,QR Code is not working,03-06-2024 11:49:00 AM,COMP/0000000049,sdfghjk,Waheed Nagar,SCTP,asdfghjkl,2024-06-01,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 11:49:00 AM,0:00,uploads/,Shakarpur,Keshava Puram Zone,R-Cluster 4,resl,3333333333,resl@gmail.com,,
16,87,4230,QR Code is not working,01-06-2024 04:02:00 PM,COMP/0000000048,456,Waheed Nagar,SCTP,123,2024-06-12,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,01-06-2024 04:02:00 PM,0:00,uploads/,Pritampur North,Rohini Zone,R-Cluster 4,RESL,2222222222,resl@gmail.com,,
17,87,4229,QR Code is not working,03-06-2024 11:35:00 AM,COMP/0000000047,hjfyuj,Waheed Nagar,SCTP,hgcdfhtzg,2024-06-01,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 11:35:00 AM,0:00,uploads/,Kohat Enclave,Civil Lines Zone,C-Cluster 5,RESL,2222222222,resl@gmail.com,,
18,87,4228,QR Code is not working,31-05-2024 05:25:00 PM,COMP/0000000046,jgjgk,Waheed Nagar,SCTP,jgjjj,2024-05-31,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,31-05-2024 05:25:00 PM,0:00,uploads/,Tri Nagar,Keshava Puram Zone,C-Cluster 5,Someone,9494092686,,,
19,87,4227,QR Code is not working,01-06-2024 03:08:00 PM,COMP/0000000045,svasaefw,Waheed Nagar,SCTP,ewfwef,2024-05-20,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,01-06-2024 03:08:00 PM,0:00,uploads/,Burari,Civil Lines Zone,C-Cluster 3,Someone,8919872820,uma@gmail.com,,
20,87,4226,QR Code is not working,03-06-2024 11:22:00 AM,COMP/0000000044,sefwrgr,Waheed Nagar,SCTP,wsegwe,2024-05-13,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 11:22:00 AM,0:00,uploads/,Rohini North,Rohini Zone,R-Cluster 1,Yamuna,2222222222,yamuna@gmail.com,,
21,87,4224,QR Code is not working,31-05-2024 04:27:00 PM,COMP/0000000042,Hyderabad,Waheed Nagar,SCTP,Hij Hello,2024-05-29,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,31-05-2024 04:27:00 PM,0:00,uploads/,Shalimarbagh North,Rohini Zone,R-Cluster 4,Uma Maheswara,9494092686,uma@gmail.com,,
22,87,4223,QR Code is not working,31-05-2024 03:20:00 PM,COMP/0000000041,sfhj,Waheed Nagar,SCTP,hjfe,2024-05-07,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,31-05-2024 03:20:00 PM,0:00,uploads/,Wazirpur,Keshava Puram Zone,C-Cluster 5,SOMEONE,9932199321,umamaheswara2016@gmail.com,,
23,87,4222,QR Code is not working,24-05-2024 05:13:00 PM,COMP/0000000040,dbdfbdrb,Waheed Nagar,SCTP,drhdrfbd,2024-05-12,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 05:13:00 PM,0:00,uploads/,Kalampur,Civil Lines Zone,C-Cluster 2,harsha761,4444444444,umamaheswara2016@gmail.com,,
24,87,4221,QR Code is not working,24-05-2024 02:17:00 PM,COMP/0000000039,delhi,Waheed Nagar,SCTP,broken bin,2024-05-24,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 02:17:00 PM,0:00,uploads/,Kadipur,Civil Lines Zone,C-Cluster 3,hasini,4444444444,hasini@gmail.com,,
25,87,4220,QR Code is not working,24-05-2024 12:16:00 PM,COMP/0000000038,delhi,Waheed Nagar,SCTP,asdfghjkl,2024-05-24,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 12:16:00 PM,0:00,uploads/,41-42,Rohini Zone,Paschim Vihar,hasini,9911991199,hasini123@gmail.com,,
26,87,4219,QR Code is not working,24-05-2024 12:10:00 PM,COMP/0000000037,sgdfs,Waheed Nagar,SCTP,24235,2024-05-15,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 12:10:00 PM,0:00,uploads/,Kalampur,Civil Lines Zone,C-Cluster 2,harsha34510,2222222222,umamaheswara2016@gmail.com,,
27,87,4218,QR Code is not working,24-05-2024 12:09:00 PM,COMP/0000000036,sdbdsfnf,Waheed Nagar,SCTP,asedfhgjh,2024-05-21,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 12:09:00 PM,0:00,uploads/,Shalimarbagh South,Rohini Zone,R-Cluster 4,harsha,2222222222,umamaheswara2016@gmail.com,,
28,87,4216,QR Code is not working,24-05-2024 12:03:00 PM,COMP/0000000035,fgndfgn,Waheed Nagar,SCTP,removal of garbage,2024-05-27,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,01-01-1900 12:00:00 AM,-1090428:-3,uploads/,Sangam Park,Keshava Puram Zone,C-Cluster 2,SOMEONE,9932199321,umamaheswara2016@gmail.com,,
29,87,4215,QR Code is not working,24-05-2024 02:00:00 PM,COMP/0000000034,fgns,Waheed Nagar,SCTP,sdnsn,2024-05-08,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 02:00:00 PM,0:00,uploads/,Kohat Enclave,Civil Lines Zone,C-Cluster 5,SOMEONE,2222222222,umamaheswara2016@gmail.com,,
30,87,4214,QR Code is not working,24-05-2024 11:48:00 AM,COMP/0000000033,sdfghj,Waheed Nagar,SCTP,removal of garbage,2024-05-19,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 11:47:37 AM,0:-1,uploads/,Burari,Civil Lines Zone,C-Cluster 3,harsha345,9932199321,umamaheswara2016@gmail.com,,
31,87,4209,QR Code is not working,24-05-2024 11:08:00 AM,COMP/0000000032,sdxfbgnhg,Waheed Nagar,SCTP,removal of garbage,2024-05-24,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 10:02:37 AM,-1:-6,uploads/,Mangolpuri East,Rohini Zone,R-Cluster 3,harsha,2222222222,umamaheswara2016@gmail.com,,
32,87,4208,QR Code is not working,24-05-2024 11:10:00 AM,COMP/0000000031,adgdj,Waheed Nagar,SCTP,removal of garbage,2024-05-27,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 10:01:38 AM,-1:-9,uploads/,Kalampur,Civil Lines Zone,C-Cluster 2,asabca,9932199321,umamaheswara2016@gmail.com,,
33,87,4207,QR Code is not working,24-05-2024 11:48:00 AM,COMP/0000000030,fbxfgnfx,Waheed Nagar,SCTP,mnhgfdf,2024-05-14,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 09:38:51 AM,-2:10,uploads/,Saraswati Vihar,Rohini Zone,R-Cluster 4,uma amahwh,9932199321,umamaheswara2016@gmail.com,,
34,87,4206,QR Code is not working,24-05-2024 12:11:00 PM,COMP/0000000029,sdfghj,Waheed Nagar,SCTP,ewgrhern,2024-05-01,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 12:11:00 PM,0:00,uploads/,Kalampur,Civil Lines Zone,C-Cluster 2,harsha345,2222222222,umamaheswara2016@gmail.com,,
35,87,4205,QR Code is not working,24-05-2024 02:10:00 PM,COMP/0000000028,zdxfbfn,Waheed Nagar,SCTP,adsfgh,2024-05-13,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,24-05-2024 02:10:00 PM,0:00,uploads/,Burari,Civil Lines Zone,C-Cluster 3,harsha345,9494924567,umamaheswara2016@gmail.com,,
36,87,4204,QR Code is not working,31-05-2024 03:19:00 PM,COMP/0000000027,ertyh,Waheed Nagar,SCTP,hfds,2024-05-20,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,31-05-2024 03:19:00 PM,0:00,uploads/,Shalimarbagh North,Rohini Zone,R-Cluster 4,SOMEONE,9494924567,umamaheswara2016@gmail.com,,
37,87,4203,QR Code is not working,31-05-2024 04:19:00 PM,COMP/0000000026,dsfbn,Waheed Nagar,SCTP,fnbzdf,2024-05-01,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,31-05-2024 04:19:00 PM,0:00,uploads/,Kalampur,Civil Lines Zone,C-Cluster 2,SOMEONE,9494924567,umamaheswara2016@gmail.com,,
38,87,4202,QR Code is not working,23-05-2024 03:00:00 PM,COMP/0000000025,dgng,Waheed Nagar,SCTP,ndfgn45678,2024-05-06,Letter,22.7,5.7,,,,dgng12356,APP,24,CLOSED,True,,,,23-05-2024 02:48:31 PM,0:12,uploads/,Wazirpur,Keshava Puram Zone,C-Cluster 5,harsha,9494924567,,,
39,87,4201,QR Code is not working,23-05-2024 02:46:00 PM,COMP/0000000024,sdfghj,Waheed Nagar,SCTP,jhgfd123,2024-05-15,Letter,22.7,5.7,,,,sdfghj342,APP,24,CLOSED,True,,,,23-05-2024 01:39:21 PM,-1:-7,uploads/,Rohini North,Rohini Zone,R-Cluster 1,uma mahesh,8919872820,,,
40,87,4200,QR Code is not working,23-05-2024 01:30:00 PM,COMP/0000000023,ghmc,delhi,Waheed Nagar,SCTP,removal of garbage,2024-05-23,Call,22.7,5.7,,,,ghmc,delhi,APP,24,CLOSED,True,,,,23-05-2024 11:40:26 AM,-1:50,uploads/,41-42,Rohini Zone,Paschim Vihar,rakesh,9932199321,,,
41,87,4199,QR Code is not working,23-05-2024 01:21:00 PM,COMP/0000000022,asdvewv,Waheed Nagar,SCTP,aefwefq,2024-05-22,Call,22.7,5.7,,,,asdvewv,APP,24,CLOSED,True,,,,23-05-2024 11:34:38 AM,-1:47,uploads/,Wazirpur,Keshava Puram Zone,C-Cluster 5,SOMEONE,9494924567,,,
42,87,4198,QR Code is not working,22-05-2024 12:43:00 PM,COMP/0000000021,asfgsdnhsd,Waheed Nagar,SCTP,zsgdshnfd123,2024-05-22,Call,22.7,5.7,,,,sdfghj,APP,24,CLOSED,True,,,,22-05-2024 12:33:14 PM,0:10,uploads/,Shalimarbagh North,Rohini Zone,R-Cluster 4,uma amahwh,9494924567,,,
43,87,4194,QR Code is not working,21-05-2024 09:57:00 AM,COMP/0000000020,asdfghj,Waheed Nagar,SCTP,asdfghjasdf,2024-05-21,Call,22.7,5.7,,,,wserty,APP,24,CLOSED,True,,,,21-05-2024 09:46:08 AM,0:11,uploads/,Kapra,Kukatpally,Kapra,harsha,2222222222,,,
44,87,4193,QR Code is not working,21-05-2024 09:36:00 AM,COMP/0000000019,gfdsdfg,Waheed Nagar,SCTP,fhdngdfg123,2024-05-15,Call,22.7,5.7,,,,ASDFGH,APP,24,CLOSED,True,,,,21-05-2024 09:14:01 AM,0:22,uploads/,Borabanda,Bharath Nagar,Yousufguda,uma amahwh,9494924567,,,
45,87,4192,QR Code is not working,22-05-2024 11:45:00 AM,COMP/0000000018,sdfgh,Waheed Nagar,SCTP,sdfdhd,2024-05-18,Letter,22.7,5.7,,,,wasegdf,APP,24,CLOSED,True,,,,20-05-2024 10:29:04 PM,-37:16,uploads/,Rahamath Nagar,LBnagar,Yousufguda,uma mahesh,8919872820,,,
46,87,4191,QR Code is not working,23-05-2024 01:28:00 PM,COMP/0000000017,sdfgh,Waheed Nagar,SCTP,dfbsrf,2024-05-18,Call,22.7,5.7,,,,sdfgh,APP,24,CLOSED,True,,,,20-05-2024 10:26:08 PM,-63:-2,uploads/,Rahamath Nagar,LBnagar,Yousufguda,uma mahesh,8919872820,,,
47,87,4190,QR Code is not working,23-05-2024 01:33:00 PM,COMP/0000000016,awfseg,Waheed Nagar,SCTP,awfqg,2024-05-18,,22.7,5.7,,,,awfseg,APP,24,CLOSED,True,,,,20-05-2024 12:29:27 PM,-73:-4,uploads/,Rahamath Nagar,LBnagar,Yousufguda,EfWESVASD,9494092686,,,
48,87,4189,QR Code is not working,23-05-2024 01:37:00 PM,COMP/0000000015,djhvsye,Waheed Nagar,SCTP,efweagvw,2024-05-18,,22.7,5.7,,,,djhvsye,APP,24,CLOSED,True,,,,20-05-2024 12:25:05 PM,-73:12,uploads/,Rahamath Nagar,LBnagar,Yousufguda,jhsdbcuscgaus,COMP/0000000136,,,
49,87,4188,QR Code is not working,20-05-2024 09:21:00 AM,COMP/0000000014,hsdhc,Waheed Nagar,SCTP,wefwrv,,,22.7,5.7,,,,huiuihi,APP,24,CLOSED,True,,,,20-05-2024 09:16:28 AM,0:-5,uploads/,Kondapur,sefsvsswfsdg,Serilingampally,karna,9440031114,,,
50,87,4187,QR Code is not working,20-05-2024 09:05:00 AM,COMP/0000000013,sgrdthr,Waheed Nagar,SCTP,esdgsdrgsq123,,,22.7,5.7,,,,2345,APP,24,CLOSED,True,,,,20-05-2024 09:04:13 AM,0:-1,uploads/,Gachibowli,tertweyzw,Serilingampally,sdxgbsdxbx,COMP/0000000136,,,
51,87,4186,QR Code is not working,20-05-2024 07:26:00 AM,COMP/0000000012,fghjk,Waheed Nagar,SCTP,asssdfgh,,,22.7,5.7,,,,dfghh,APP,24,CLOSED,True,,,,20-05-2024 07:03:32 AM,0:23,uploads/,Borabanda,Bharath Nagar,Yousufguda,harsha765,9494092686,,,
52,87,4185,QR Code is not working,20-05-2024 06:47:00 AM,COMP/0000000011,zxghj,Waheed Nagar,SCTP,3,,,22.7,5.7,,,,sdfghjkl,APP,24,CLOSED,True,,,,20-05-2024 06:46:29 AM,0:-1,uploads/,Borabanda,Bharath Nagar,Yousufguda,harsha578,939494399393,,,
53,87,4184,QR Code is not working,19-05-2024 10:11:00 PM,COMP/0000000010,sxmhfgfteghe,Waheed Nagar,SCTP,2,,,22.7,5.7,,,,xcvbhnm,APP,24,CLOSED,True,,,,19-05-2024 09:55:57 PM,0:16,uploads/,Gachibowli,tertweyzw,Serilingampally,dfbdnfgxnffn,anoce,,,
54,87,4183,QR Code is not working,19-05-2024 10:00:00 PM,COMP/0000000009,sfdghjk,Waheed Nagar,SCTP,2,,,22.7,5.7,,,,fdghjkl;,APP,24,CLOSED,True,,,,19-05-2024 09:47:20 PM,0:13,uploads/,Madhapur,Bharath Nagar,Chandanagar,dfdrtd,9494092686,,,
55,87,4182,QR Code is not working,19-05-2024 09:23:00 PM,COMP/0000000008,sdgseddg,Waheed Nagar,SCTP,3,,,22.7,5.7,,,,ghtyuy,APP,24,CLOSED,True,,,,19-05-2024 09:23:00 PM,0:00,uploads/,Nagole,w4efgawes,Hayathnagar,sdxgbsdxbx,COMP/00000001367,,,
56,87,4181,QR Code is not working,19-05-2024 09:25:00 PM,COMP/0000000007,rtgearg,Waheed Nagar,SCTP,2,,,22.7,5.7,,,,gfhjhg,APP,24,CLOSED,True,,,,19-05-2024 09:22:13 PM,0:-3,uploads/,Serilingampally,sefsvsswfsdg,Serilingampally,Shanmukha123,9494092686,,,
57,87,4180,QR Code is not working,19-05-2024 09:21:00 PM,COMP/0000000006,rdtfyguhi,Waheed Nagar,SCTP,3,,,22.7,5.7,,,,sdfghjk,APP,24,CLOSED,True,,,,19-05-2024 08:56:13 PM,0:25,uploads/,Miyapur,LBnagar,Chandanagar,Uma Maheswara123,34,,,
58,87,4179,QR Code is not working,19-05-2024 08:07:00 PM,COMP/0000000005,dgserge,Waheed Nagar,SCTP,2,,,22.7,5.7,,,,esdytui,APP,24,CLOSED,True,,,,19-05-2024 07:15:26 PM,0:52,uploads/,Borabanda,Bharath Nagar,Yousufguda,EfWESVASD123,123,,,
59,87,4178,QR Code is not working,19-05-2024 09:32:00 PM,COMP/0000000004,juhrfuieshrferwg,Waheed Nagar,SCTP,3,,,22.7,5.7,,,,hbsid,APP,24,CLOSED,True,,,,19-05-2024 06:39:03 PM,-2:53,uploads/,Kondapur,sefsvsswfsdg,Serilingampally,harsha765,93499494994,,,
60,87,4177,QR Code is not working,19-05-2024 10:12:00 PM,COMP/0000000003,zdvdsvseefhrgw,Waheed Nagar,SCTP,3,,,22.7,5.7,,,,ghj,APP,24,CLOSED,True,,,,19-05-2024 06:27:05 PM,-3:45,uploads/,Nagole,LBnagar,Hayathnagar,Uma Maheswara345,9394940939,,,
61,87,4176,QR Code is not working,23-05-2024 01:43:00 PM,COMP/0000000002,chztrdt,Waheed Nagar,SCTP,hgdresdy322,,,22.7,5.7,,,,chztrdt123,APP,24,CLOSED,True,,,,19-05-2024 10:01:08 AM,-99:42,uploads/,Kondapur,sefsvsswfsdg,Serilingampally,harsha678,9494092686,,,
62,87,4175,QR Code is not working,23-05-2024 02:45:00 PM,COMP/0000000001,fghj,Waheed Nagar,SCTP,jhgv456,,,22.7,5.7,,,,fghj123,APP,24,CLOSED,True,,,,18-05-2024 07:51:10 PM,-114:54,uploads/,Serilingampally,sefsvsswfsdg,Serilingampally,harsha798,34,,,
63,87,4163,QR Code is not working,21-05-2024 09:35:00 AM,COMP/0000000001,sefgsdgvszd,Waheed Nagar,SCTP,sdgvsdv,,,22.7,5.7,,,,qwedfghj,APP,24,CLOSED,True,,,,17-05-2024 05:24:02 PM,-88:11,uploads/,,,13,Karna,ghrtc,,,
64,87,4150,QR Code is not working,16-05-2024 10:10:00 AM,COMP/0000000001,ksdhhe,Waheed Nagar,SCTP,esfweg,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,16-05-2024 09:52:49 AM,0:18,uploads/,,,,,,,,
65,87,4144,QR Code is not working,15-05-2024 09:19:00 PM,COMP/0000000001,Anantapur1,Waheed Nagar,SCTP,TAdipatri1,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 07:58:24 PM,-1:21,uploads/,,,,,,,,
66,87,4143,QR Code is not working,15-05-2024 09:14:00 PM,COMP/0000000001,sacavsf2,Waheed Nagar,SCTP,sdzfasedx2,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 07:44:10 PM,-1:30,uploads/,,,,,,,,
67,87,4142,QR Code is not working,15-05-2024 09:17:00 PM,COMP/0000000001,sdvdfbdx3,Waheed Nagar,SCTP,sdfsewef3,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 07:35:50 PM,-1:42,uploads/,,,,,,,,
68,87,4139,QR Code is not working,15-05-2024 05:54:00 PM,COMP/0000000001,ANANTAPUR,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 03:44:25 PM,-2:10,uploads/,,,,,,,,
69,87,4138,QR Code is not working,15-05-2024 06:06:00 PM,COMP/0000000001,TADIPATRI,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 03:43:48 PM,-2:23,uploads/,,,,,,,,
70,87,4135,QR Code is not working,15-05-2024 09:18:00 PM,COMP/0000000001,sdbsdb12,Waheed Nagar,SCTP,dvdfbadf12,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 01:54:57 PM,-7:24,uploads/,,,,,,,,
71,87,4130,QR Code is not working,15-05-2024 05:50:00 PM,COMP/0000000001,kjsdbsbd,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,15-05-2024 09:34:15 AM,-8:16,uploads/,,,,,,,,
72,87,4129,QR Code is not working,15-05-2024 05:54:00 PM,COMP/0000000001,ANANTAPUR,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,,,14-05-2024 01:22:02 PM,-28:32,uploads/,,,,,,,,
73,87,4127,Container SCTP Change,15-05-2024 06:05:00 PM,COMP/0000000001,F98V 48F, Bhagyanagar Colony, ,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,12180159_HariN,,05-12-2023 03:57:51 AM,-3902:-8,uploads/,,,,,,,,
74,87,4125,Container SCTP Change,24-02-2023 07:14:45 PM,COMP/0000000001,C7FG+4QM, Mir Shikar Chak, Bihar 851211, India,Mir Alam Tank,SCTP,TS08UH8897,,,25.423272833333332,86.27662995,,25.423272833333332,86.27662995,Bangalore,APP,24,CLOSED,True,81215117_Srikanth,admin@gmail.com,File upload test,28-02-2023 12:41:31 PM,89:27,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/885344328.jpg,https://appapi.himsw.in//content/SComplaint/891741410.exe
75,87,4124,QR Code is not working,16-10-2022 08:03:49 AM,COMP/0000000001,Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India,Ziyaguda,TS,Tsc 25 container is not assigned ,,,17.366312420926988,78.4446485247463,,17.366312420926988,78.4446485247463,Test,APP,24,CLOSED,True,81215028_Ayyaswamulu,admin@gmail.com,File upload test,14-03-2023 01:10:02 PM,3581:07,/content/SComplaint/,,,,,,,https://appapi.himsw.in//content/SComplaint/229280391.jpeg,https://appapi.himsw.in//content/SComplaint/202225792.exe
76,87,4123,Container SCTP Change,15-05-2024 06:17:00 PM,COMP/0000000001,Anantapur,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,81215028_Ayyaswamulu,,14-10-2022 12:32:22 PM,-13901:45,uploads/,,,,,,,,
77,87,4122,QR Code is not working,15-05-2024 06:20:00 PM,COMP/0000000001,13-4-561/30/1, Dariya Bagh, Zi,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,81215028_Ayyaswamulu,,12-10-2022 08:11:23 AM,-13954:-9,uploads/,,,,,,,,
78,87,4121,QR Code is not working,15-05-2024 06:24:00 PM,COMP/0000000001,Jiyaguda Transfer Station (Cir,Waheed Nagar,SCTP,,,,22.7,5.7,,,,,APP,24,CLOSED,True,,81215028_Ayyaswamulu,,29-09-2022 01:48:53 PM,-14260:36,uploads/,,,,,,,,
