"Sr. No","REG No","REGISTRATION Type","REGISTRATION DATE","COMPLAINT TYPE","ZONE","Circle","WARD","LOCATION","STATUS","CITIZEN NAME","CITIZEN CONTACT No","Citizen Email Id","Complaint Address","COMPLAINT CLOSURE ON","ACTION REMARKS","ACTION"
"24","COMP/0000000037","Call","2024-05-15","QR Code is not working","Civil Lines Zone","C-Cluster 2","Kalampur","sgdfs","CLOSED","harsha34510","2222222222","umamaheswara2016@gmail.com","sgdfs","24-05-2024 12:10:00 PM","24235",""
"25","COMP/0000000036","Letter","2024-05-21","QR Code is not working","Rohini Zone","R-Cluster 4","Shalimarbagh South","sdbdsfnf","CLOSED","harsha","2222222222","umamaheswara2016@gmail.com","sdbdsfnf","24-05-2024 12:09:00 PM","asedfhgjh",""
"26","COMP/0000000035","Call","2024-05-27","QR Code is not working","Keshava Puram Zone","C-Cluster 2","Sangam Park","fgndfgn","CLOSED","SOMEONE","9932199321","umamaheswara2016@gmail.com","fgndfgn","01-01-1900 12:00:00 AM","removal of garbage",""
"27","COMP/0000000034","Letter","2024-05-08","QR Code is not working","Civil Lines Zone","C-Cluster 5","Kohat Enclave","fgns","CLOSED","SOMEONE","2222222222","umamaheswara2016@gmail.com","fgns","24-05-2024 02:00:00 PM","",""
"28","COMP/0000000033","Letter","2024-05-19","QR Code is not working","Civil Lines Zone","C-Cluster 3","Burari","sdfghj","CLOSED","harsha345","9932199321","umamaheswara2016@gmail.com","sdfghj","24-05-2024 11:47:37 AM","removal of garbage",""
"29","COMP/0000000032","Letter","2024-05-24","QR Code is not working","Rohini Zone","R-Cluster 3","Mangolpuri East","sdxfbgnhg","CLOSED","harsha","2222222222","umamaheswara2016@gmail.com","sdxfbgnhg","24-05-2024 10:02:37 AM","removal of garbage",""
"30","COMP/0000000031","Call","2024-05-27","QR Code is not working","Civil Lines Zone","C-Cluster 2","Kalampur","adgdj","CLOSED","asabca","9932199321","umamaheswara2016@gmail.com","adgdj","24-05-2024 10:01:38 AM","removal of garbage",""
"31","COMP/0000000030","Letter","2024-05-14","QR Code is not working","Rohini Zone","R-Cluster 4","Saraswati Vihar","fbxfgnfx","CLOSED","uma amahwh","9932199321","umamaheswara2016@gmail.com","fbxfgnfx","24-05-2024 09:38:51 AM","mnhgfdf",""
"32","COMP/0000000029","Call","2024-05-01","QR Code is not working","Civil Lines Zone","C-Cluster 2","Kalampur","sdfghj","CLOSED","harsha345","2222222222","umamaheswara2016@gmail.com","sdfghj","24-05-2024 12:11:00 PM","ewgrhern",""
"33","COMP/0000000028","Letter","2024-05-13","QR Code is not working","Civil Lines Zone","C-Cluster 3","Burari","zdxfbfn","CLOSED","harsha345","9494924567","umamaheswara2016@gmail.com","zdxfbfn","24-05-2024 02:10:00 PM","",""
"34","COMP/0000000027","Letter","2024-05-20","QR Code is not working","Rohini Zone","R-Cluster 4","Shalimarbagh North","ertyh","CLOSED","SOMEONE","9494924567","umamaheswara2016@gmail.com","ertyh","31-05-2024 03:19:00 PM","",""
"35","COMP/0000000026","Call","2024-05-01","QR Code is not working","Civil Lines Zone","C-Cluster 2","Kalampur","dsfbn","CLOSED","SOMEONE","9494924567","umamaheswara2016@gmail.com","dsfbn","31-05-2024 04:19:00 PM","",""
"36","COMP/0000000025","Letter","2024-05-06","QR Code is not working","Keshava Puram Zone","C-Cluster 5","Wazirpur","dgng","CLOSED","harsha","9494924567","","dgng","23-05-2024 02:48:31 PM","ndfgn45678",""
"37","COMP/0000000024","Letter","2024-05-15","QR Code is not working","Rohini Zone","R-Cluster 1","Rohini North","sdfghj","CLOSED","uma mahesh","8919872820","","sdfghj","23-05-2024 01:39:21 PM","jhgfd123",""
"38","COMP/0000000023","Call","2024-05-23","QR Code is not working","Rohini Zone","Paschim Vihar","41-42","ghmc,delhi","CLOSED","rakesh","9932199321","","ghmc,delhi","23-05-2024 11:40:26 AM","removal of garbage",""
"39","COMP/0000000022","Call","2024-05-22","QR Code is not working","Keshava Puram Zone","C-Cluster 5","Wazirpur","asdvewv","CLOSED","SOMEONE","9494924567","","asdvewv","23-05-2024 11:34:38 AM","aefwefq",""
"40","COMP/0000000021","Call","2024-05-22","QR Code is not working","Rohini Zone","R-Cluster 4","Shalimarbagh North","asfgsdnhsd","CLOSED","uma amahwh","9494924567","","asfgsdnhsd","22-05-2024 12:33:14 PM","zsgdshnfd123",""
"41","COMP/0000000020","Call","2024-05-21","QR Code is not working","Kukatpally","Kapra","Kapra","asdfghj","CLOSED","harsha","2222222222","","asdfghj","21-05-2024 09:46:08 AM","asdfghjasdf",""
"42","COMP/0000000019","Call","2024-05-15","QR Code is not working","Bharath Nagar","Yousufguda","Borabanda","gfdsdfg","CLOSED","uma amahwh","9494924567","","gfdsdfg","21-05-2024 09:14:01 AM","fhdngdfg123",""
"43","COMP/0000000018","Letter","2024-05-18","QR Code is not working","LBnagar","Yousufguda","Rahamath Nagar","sdfgh","CLOSED","uma mahesh","8919872820","","sdfgh","20-05-2024 10:29:04 PM","sdfdhd",""
"44","COMP/0000000017","Call","2024-05-18","QR Code is not working","LBnagar","Yousufguda","Rahamath Nagar","sdfgh","CLOSED","uma mahesh","8919872820","","sdfgh","20-05-2024 10:26:08 PM","dfbsrf",""
"45","COMP/0000000016","","2024-05-18","QR Code is not working","LBnagar","Yousufguda","Rahamath Nagar","awfseg","CLOSED","EfWESVASD","9494092686","","awfseg","20-05-2024 12:29:27 PM","awfqg",""
"46","COMP/0000000015","","2024-05-18","QR Code is not working","LBnagar","Yousufguda","Rahamath Nagar","djhvsye","CLOSED","jhsdbcuscgaus","COMP/0000000136","","djhvsye","20-05-2024 12:25:05 PM","efweagvw",""
"47","COMP/0000000014","","","QR Code is not working","sefsvsswfsdg","Serilingampally","Kondapur","hsdhc","CLOSED","karna","9440031114","","hsdhc","20-05-2024 09:16:28 AM","wefwrv",""
"48","COMP/0000000013","","","QR Code is not working","tertweyzw","Serilingampally","Gachibowli","sgrdthr","CLOSED","sdxgbsdxbx","COMP/0000000136","","sgrdthr","20-05-2024 09:04:13 AM","esdgsdrgsq123",""
"49","COMP/0000000012","","","QR Code is not working","Bharath Nagar","Yousufguda","Borabanda","fghjk","CLOSED","harsha765","9494092686","","fghjk","20-05-2024 07:03:32 AM","asssdfgh",""
"50","COMP/0000000011","","","QR Code is not working","Bharath Nagar","Yousufguda","Borabanda","zxghj","CLOSED","harsha578","939494399393","","zxghj","20-05-2024 06:46:29 AM","sdfghjk",""
"51","COMP/0000000010","","","QR Code is not working","tertweyzw","Serilingampally","Gachibowli","sxmhfgfteghe","CLOSED","dfbdnfgxnffn","anoce","","sxmhfgfteghe","19-05-2024 09:55:57 PM","23",""
"52","COMP/0000000009","","","QR Code is not working","Bharath Nagar","Chandanagar","Madhapur","sfdghjk","CLOSED","dfdrtd","9494092686","","sfdghjk","19-05-2024 09:47:20 PM","1235",""
"53","COMP/0000000008","","","QR Code is not working","w4efgawes","Hayathnagar","Nagole","sdgseddg","CLOSED","sdxgbsdxbx","COMP/00000001367","","sdgseddg","19-05-2024 09:23:00 PM","sdgesrgs1234",""
"54","COMP/0000000007","","","QR Code is not working","sefsvsswfsdg","Serilingampally","Serilingampally","rtgearg","CLOSED","Shanmukha123","9494092686","","rtgearg","19-05-2024 09:22:13 PM","rgeasgaw213",""
"55","COMP/0000000006","","","QR Code is not working","LBnagar","Chandanagar","Miyapur","rdtfyguhi","CLOSED","Uma Maheswara123","34","","rdtfyguhi","19-05-2024 08:56:13 PM","sdfghjk123",""
"56","COMP/0000000005","","","QR Code is not working","Bharath Nagar","Yousufguda","Borabanda","dgserge","CLOSED","EfWESVASD123","123","","dgserge","19-05-2024 07:15:26 PM","323456789",""
"57","COMP/0000000004","","","QR Code is not working","sefsvsswfsdg","Serilingampally","Kondapur","juhrfuieshrferwg","CLOSED","harsha765","93499494994","","juhrfuieshrferwg","19-05-2024 06:39:03 PM","rthrherwfwe234",""
"58","COMP/0000000003","","","QR Code is not working","LBnagar","Hayathnagar","Nagole","zdvdsvseefhrgw","CLOSED","Uma Maheswara345","9394940939","","zdvdsvseefhrgw","19-05-2024 06:27:05 PM","efwegfew123",""
"59","COMP/0000000002","","","QR Code is not working","sefsvsswfsdg","Serilingampally","Kondapur","chztrdt","CLOSED","harsha678","9494092686","","chztrdt","19-05-2024 10:01:08 AM","hgdresdy322",""
"60","COMP/0000000001","","","QR Code is not working","sefsvsswfsdg","Serilingampally","Serilingampally","fghj","CLOSED","harsha798","34","","fghj","18-05-2024 07:51:10 PM","jhgv456",""
"61","COMP/0000000001","","","QR Code is not working","","13","","sefgsdgvszd","CLOSED","Karna","ghrtc","","sefgsdgvszd","17-05-2024 05:24:02 PM","sdgvsdv",""
"62","COMP/0000000001","","","QR Code is not working","","","","ksdhhe","CLOSED","","","","ksdhhe","16-05-2024 09:52:49 AM","",""
"63","COMP/0000000001","","","QR Code is not working","","","","Anantapur1","CLOSED","","","","Anantapur1","15-05-2024 07:58:24 PM","",""
"64","COMP/0000000001","","","QR Code is not working","","","","sacavsf2","CLOSED","","","","sacavsf2","15-05-2024 07:44:10 PM","",""
"65","COMP/0000000001","","","QR Code is not working","","","","sdvdfbdx3","CLOSED","","","","sdvdfbdx3","15-05-2024 07:35:50 PM","",""
"66","COMP/0000000001","","","QR Code is not working","","","","ANANTAPUR","CLOSED","","","","ANANTAPUR","15-05-2024 03:44:25 PM","",""
"67","COMP/0000000001","","","QR Code is not working","","","","TADIPATRI","CLOSED","","","","TADIPATRI","15-05-2024 03:43:48 PM","",""
"68","COMP/0000000001","","","QR Code is not working","","","","sdbsdb12","CLOSED","","","","sdbsdb12","15-05-2024 01:54:57 PM","",""
"69","COMP/0000000001","","","QR Code is not working","","","","kjsdbsbd","CLOSED","","","","kjsdbsbd","15-05-2024 09:34:15 AM","",""
"70","COMP/0000000001","","","QR Code is not working","","","","ANANTAPUR","CLOSED","","","","ANANTAPUR","14-05-2024 01:22:02 PM","",""
"71","COMP/0000000001","","","Container SCTP Change","","","","F98V 48F, Bhagyanagar Colony,","CLOSED","","","","F98V 48F, Bhagyanagar Colony,","05-12-2023 03:57:51 AM","",""
"72","COMP/0000000001","","","Container SCTP Change","","","","C7FG+4QM, Mir Shikar Chak, Bihar 851211, India","CLOSED","","","","C7FG+4QM, Mir Shikar Chak, Bihar 851211, India","28-02-2023 12:41:31 PM","",""
"73","COMP/0000000001","","","QR Code is not working","","","","Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India","CLOSED","","","","Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India","14-03-2023 01:10:02 PM","",""
"74","COMP/0000000001","","","Container SCTP Change","","","","Anantapur","CLOSED","","","","Anantapur","14-10-2022 12:32:22 PM","",""
"75","COMP/0000000001","","","QR Code is not working","","","","13-4-561/30/1, Dariya Bagh, Zi","CLOSED","","","","13-4-561/30/1, Dariya Bagh, Zi","12-10-2022 08:11:23 AM","",""
"76","COMP/0000000001","","","QR Code is not working","","","","Jiyaguda Transfer Station (Cir","CLOSED","","","","Jiyaguda Transfer Station (Cir","29-09-2022 01:48:53 PM","",""
"77","COMP/0000000001","","","QR Code is not working","","","","Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India","CLOSED","","","","Jiyaguda Transfer Station (Circle 13, Khairtabad Zone, Dariya Bagh, Ziaguda Kamela, Hyderabad, Telangana 500264, India","10-11-2022 12:29:32 PM","",""
"78","COMP/0000000001","","","Container SCTP Change","","","","C998+VP8, Khajaguda, Telangana 500032, India","CLOSED","","","","C998+VP8, Khajaguda, Telangana 500032, India","10-11-2022 12:40:00 PM","",""
"79","COMP/0000000001","","","QR Code is not working","","","","2J, Dariya Bagh, Ziaguda Kamel","CLOSED","","","","2J, Dariya Bagh, Ziaguda Kamel","25-09-2022 09:59:26 AM","",""
"80","COMP/0000000001","","","QR Code Damaged","","","","Pipe Line Road, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India","CLOSED","","","","Pipe Line Road, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India","16-11-2022 12:50:51 PM","",""
"81","COMP/0000000001","","","QR Code Damaged","","","","GC2J+XFX, Beerappa Nagar Cross Rd, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India","CLOSED","","","","GC2J+XFX, Beerappa Nagar Cross Rd, Beerappa Nagar, Jagathgiri Gutta, Hyderabad, Telangana 500054, India","09-11-2022 04:40:45 PM","",""
"82","COMP/0000000001","","","QR Code Damaged","","","","Ground Floor, RVR Towers, 6/3/1089/F, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India","CLOSED","","","","Ground Floor, RVR Towers, 6/3/1089/F, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India","10-05-2022 04:13:26 PM","",""
"83","COMP/0000000001","","","QR Code is not working","","","","240, Road, Block B, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201001, India","CLOSED","","","","240, Road, Block B, Loha Mandi, Bulandshahr Road Industrial Area, Ghaziabad, Uttar Pradesh 201001, India","16-03-2022 11:32:26 AM","",""
"84","COMP/0000000001","","","QR Code is not working","","","","GPO Ln, Palayam, Thiruvananthapuram, Kerala 695001, India","CLOSED","","","","GPO Ln, Palayam, Thiruvananthapuram, Kerala 695001, India","30-12-2021 12:59:20 PM","",""
"85","COMP/0000000001","","","QR Code is not working","","","","Rasulpur","CLOSED","","","","Rasulpur","29-12-2021 05:22:32 PM","",""
